-------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations UserCounters...
raw_benchmark_fence_accumulate/4096/manual_time                            35.5 us         35.4 us        19448 bytes_per_second=880.678Mi/s
raw_benchmark_fence_accumulate/32768/manual_time                            165 us          127 us         3888 bytes_per_second=1.47989Gi/s
raw_benchmark_fence_accumulate/262144/manual_time                           368 us          361 us         1374 bytes_per_second=5.30975Gi/s
raw_benchmark_pscw_put/1/manual_time                                       17.6 us         17.8 us        37041 bytes_per_second=443.266Ki/s
raw_benchmark_pscw_put/8/manual_time                                       17.7 us         17.9 us        36647 bytes_per_second=3.43892Mi/s
raw_benchmark_pscw_put/64/manual_time                                      18.4 us         18.5 us        35587 bytes_per_second=26.5947Mi/s
raw_benchmark_pscw_put/512/manual_time                                     18.3 us         18.5 us        35652 bytes_per_second=213.145Mi/s
raw_benchmark_pscw_put/4096/manual_time                                    17.5 us         17.7 us        37051 bytes_per_second=1.74292Gi/s
raw_benchmark_pscw_put/32768/manual_time                                   33.1 us         33.0 us        19926 bytes_per_second=7.38662Gi/s
raw_benchmark_pscw_put/262144/manual_time                                   121 us          120 us         5155 bytes_per_second=16.1354Gi/s
raw_benchmark_pscw_get/1/manual_time                                       18.8 us         18.9 us        34992 bytes_per_second=416.577Ki/s
raw_benchmark_pscw_get/8/manual_time                                       18.9 us         19.1 us        34706 bytes_per_second=3.22237Mi/s
raw_benchmark_pscw_get/64/manual_time                                      19.1 us         19.3 us        34220 bytes_per_second=25.5135Mi/s
raw_benchmark_pscw_get/512/manual_time                                     19.3 us         19.5 us        33937 bytes_per_second=202.253Mi/s
raw_benchmark_pscw_get/4096/manual_time                                    18.4 us         18.6 us        35467 bytes_per_second=1.6554Gi/s
raw_benchmark_pscw_get/32768/manual_time                                   32.7 us         32.7 us        21101 bytes_per_second=7.46498Gi/s
raw_benchmark_pscw_get/262144/manual_time                                   125 us          123 us         5026 bytes_per_second=15.6369Gi/s
raw_benchmark_pscw_accumulate/1/manual_time                                29.8 us         29.8 us        22733 bytes_per_second=261.93Ki/s
raw_benchmark_pscw_accumulate/8/manual_time                                30.1 us         30.1 us        22576 bytes_per_second=2.03034Mi/s
raw_benchmark_pscw_accumulate/64/manual_time                               31.1 us         31.1 us        21789 bytes_per_second=15.7045Mi/s
raw_benchmark_pscw_accumulate/512/manual_time                              34.0 us         34.0 us        20359 bytes_per_second=114.819Mi/s
raw_benchmark_pscw_accumulate/4096/manual_time                             39.9 us         39.8 us        17339 bytes_per_second=783.799Mi/s
raw_benchmark_pscw_accumulate/32768/manual_time                             172 us          133 us         3785 bytes_per_second=1.42189Gi/s
raw_benchmark_pscw_accumulate/262144/manual_time     
