-------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations UserCounters...
raw_benchmark_lock_unlock_get/64/manual_time                               6.38 us         7.65 us       109390 bytes_per_second=76.4871Mi/s
raw_benchmark_lock_unlock_get/512/manual_time                              6.60 us         7.86 us       106172 bytes_per_second=592.15Mi/s
raw_benchmark_lock_unlock_get/4096/manual_time                             8.09 us         9.30 us        86428 bytes_per_second=3.77434Gi/s
raw_benchmark_lock_unlock_get/32768/manual_time                            16.0 us         17.4 us        42766 bytes_per_second=15.2543Gi/s
raw_benchmark_lock_unlock_get/262144/manual_time                            107 us          108 us         6567 bytes_per_second=18.2941Gi/s
raw_benchmark_lock_unlock_accumulate/1/manual_time                         11.7 us         12.0 us        59957 bytes_per_second=669.236Ki/s
raw_benchmark_lock_unlock_accumulate/8/manual_time                         11.7 us         12.1 us        59869 bytes_per_second=5.22396Mi/s
raw_benchmark_lock_unlock_accumulate/64/manual_time                        11.8 us         12.2 us        59011 bytes_per_second=41.3044Mi/s
raw_benchmark_lock_unlock_accumulate/512/manual_time                       12.1 us         12.5 us        58083 bytes_per_second=323.161Mi/s
raw_benchmark_lock_unlock_accumulate/4096/manual_time                      16.1 us         16.5 us        43427 bytes_per_second=1.8946Gi/s
raw_benchmark_lock_unlock_accumulate/32768/manual_time                     43.8 us         44.1 us        15929 bytes_per_second=5.57618Gi/s
raw_benchmark_lock_unlock_accumulate/262144/manual_time                     273 us          272 us         2559 bytes_per_second=7.15672Gi/s
raw_benchmark_fence_put/1/manual_time                                      4.33 us         5.66 us       161799 bytes_per_second=1.76273Mi/s
raw_benchmark_fence_put/8/manual_time                                      4.36 us         5.71 us       160516 bytes_per_second=13.9916Mi/s
raw_benchmark_fence_put/64/manual_time                                     4.39 us         5.75 us       159574 bytes_per_second=111.147Mi/s
raw_benchmark_fence_put/512/manual_time                                    4.62 us         6.02 us       152798 bytes_per_second=846.107Mi/s
raw_benchmark_fence_put/4096/manual_time                                   6.11 us         7.26 us       114581 bytes_per_second=4.99541Gi/s
raw_benchmark_fence_put/32768/manual_time                                  15.0 us         16.3 us        45417 bytes_per_second=16.2352Gi/s
raw_benchmark_fence_put/262144/manual_time                                  101 us          102 us         6913 bytes_per_second=19.2924Gi/s
raw_benchmark_fence_get/1/manual_time                                      5.21 us         6.37 us       134391 bytes_per_second=1.46335Mi/s
raw_benchmark_fence_get/8/manual_time                                      5.23 us         6.37 us       133761 bytes_per_second=11.6777Mi/s
raw_benchmark_fence_get/64/manual_time                                     5.29 us         6.45 us       132426 bytes_per_second=92.2198Mi/s
raw_benchmark_fence_get/512/manual_time                                    5.48 us         6.63 us       127943 bytes_per_second=713.362Mi/s
raw_benchmark_fence_get/4096/manual_time                                   6.98 us         8.01 us       101828 bytes_per_second=4.37187Gi/s
raw_benchmark_fence_get/32768/manual_time                                  15.0 us         16.1 us        45120 bytes_per_second=16.3292Gi/s
raw_benchmark_fence_get/262144/manual_time                                  106 us          107 us         6624 bytes_per_second=18.4776Gi/s
raw_benchmark_fence_accumulate/1/manual_time                               9.67 us         10.8 us        71910 bytes_per_second=807.573Ki/s
raw_benchmark_fence_accumulate/8/manual_time                               9.98 us         10.8 us        71818 bytes_per_second=6.11568Mi/s
raw_benchmark_fence_accumulate/64/manual_time                              9.78 us         10.8 us        65174 bytes_per_second=49.9256Mi/s
raw_benchmark_fence_accumulate/512/manual_time                             9.77 us         10.5 us        71681 bytes_per_second=399.853Mi/s
raw_benchmark_fence_accumulate/4096/manual_time                            13.4 us         14.5 us        51827 bytes_per_second=2.27049Gi/s
raw_benchmark_fence_accumulate/32768/manual_time                           41.8 us         43.0 us        16749 bytes_per_second=5.84666Gi/s
raw_benchmark_fence_accumulate/262144/manual_time                           271 us          271 us         2578 bytes_per_second=7.21621Gi/s
raw_benchmark_pscw_put/1/manual_time                                       4.85 us         6.06 us       144178 bytes_per_second=1.57403Mi/s
raw_benchmark_pscw_put/8/manual_time                                       4.87 us         6.09 us       143560 bytes_per_second=12.5363Mi/s
raw_benchmark_pscw_put/64/manual_time                                      4.91 us         6.14 us       142690 bytes_per_second=99.4012Mi/s
raw_benchmark_pscw_put/512/manual_time                                     5.23 us         6.52 us       133441 bytes_per_second=746.535Mi/s
raw_benchmark_pscw_put/4096/manual_time                                    6.61 us         7.83 us       106085 bytes_per_second=4.61718Gi/s
raw_benchmark_pscw_put/32768/manual_time                                   15.4 us         16.7 us        45702 bytes_per_second=15.8796Gi/s
raw_benchmark_pscw_put/262144/manual_time                                   102 us          104 us         6900 bytes_per_second=19.0667Gi/s
raw_benchmark_pscw_get/1/manual_time                                       4.86 us         6.04 us       144362 bytes_per_second=1.56932Mi/s
raw_benchmark_pscw_get/8/manual_time                                       4.86 us         5.98 us       143870 bytes_per_second=12.5616Mi/s
raw_benchmark_pscw_get/64/manual_time                                      4.90 us         6.03 us       143197 bytes_per_second=99.5782Mi/s
raw_benchmark_pscw_get/512/manual_time                                     5.24 us         6.42 us       131443 bytes_per_second=744.88Mi/s
raw_benchmark_pscw_get/4096/manual_time                                    6.72 us         8.01 us       103781 bytes_per_second=4.54301Gi/s
raw_benchmark_pscw_get/32768/manual_time                                   15.0 us         16.2 us        46508 bytes_per_second=16.3278Gi/s
raw_benchmark_pscw_get/262144/manual_time                                  98.1 us         99.2 us         7184 bytes_per_second=19.9013Gi/s
raw_benchmark_pscw_accumulate/1/manual_time                                10.1 us         11.3 us        69298 bytes_per_second=772.455Ki/s
raw_benchmark_pscw_accumulate/8/manual_time                                10.1 us         11.3 us        68981 bytes_per_second=6.02945Mi/s
raw_benchmark_pscw_accumulate/64/manual_time                               10.2 us         11.4 us        68759 bytes_per_second=47.9515Mi/s
raw_benchmark_pscw_accumulate/512/manual_time                              10.9 us         12.1 us        63993 bytes_per_second=359.996Mi/s
raw_benchmark_pscw_accumulate/4096/manual_time                             14.5 us         15.7 us        48361 bytes_per_second=2.10727Gi/s
raw_benchmark_pscw_accumulate/32768/manual_time                            42.0 us         43.3 us        16622 bytes_per_second=5.81904Gi/s
raw_benchmark_pscw_accumulate/262144/manual_time                            272 us          272 us         2573 bytes_per_second=7.19163Gi/s
