--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
benchmark_osu_latency_MPI_isendirecv/64/manual_time_median                        1.23 us         1.63 us           50 bytes=128
benchmark_osu_latency_MPI_isendirecv/64/manual_time_stddev                       0.007 us        0.005 us           50 bytes=589.933n
benchmark_osu_latency_MPI_isendirecv/64/manual_time_cv                            0.57 %          0.31 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/512/manual_time_mean                         1.25 us         1.65 us           50 bytes=1.024k
benchmark_osu_latency_MPI_isendirecv/512/manual_time_median                       1.25 us         1.65 us           50 bytes=1.024k
benchmark_osu_latency_MPI_isendirecv/512/manual_time_stddev                      0.006 us        0.006 us           50 bytes=4.71946u
benchmark_osu_latency_MPI_isendirecv/512/manual_time_cv                           0.46 %          0.35 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_mean                        1.37 us         1.77 us           50 bytes=8.192k
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_median                      1.37 us         1.77 us           50 bytes=8.192k
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_stddev                     0.006 us        0.006 us           50 bytes=37.7557u
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_cv                          0.45 %          0.32 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_mean                       4.68 us         5.79 us           50 bytes=65.536k
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_median                     4.67 us         5.79 us           50 bytes=65.536k
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_stddev                    0.022 us        0.031 us           50 bytes=302.046u
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_cv                         0.47 %          0.54 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_mean                      18.9 us         19.8 us           50 bytes=524.288k
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_median                    18.9 us         19.8 us           50 bytes=524.288k
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_stddev                   0.094 us        0.090 us           50 bytes=2.41637m
