--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_median                13721 us        13642 us           50 bytes=268.435M
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_stddev                 84.4 us         60.7 us           50 bytes=1.23718
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_cv                     0.61 %          0.45 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_mean                  28083 us        27903 us           50 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_median                28087 us        27913 us           50 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_stddev                  140 us          103 us           50 bytes=2.47436
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_cv                     0.50 %          0.37 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/1/manual_time_mean                             1.19 us         1.60 us           50 bytes=2
benchmark_osu_latency_MPI_sendrecv/1/manual_time_median                           1.19 us         1.60 us           50 bytes=2
benchmark_osu_latency_MPI_sendrecv/1/manual_time_stddev                          0.007 us        0.004 us           50 bytes=9.2177n
benchmark_osu_latency_MPI_sendrecv/1/manual_time_cv                               0.56 %          0.22 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/8/manual_time_mean                             1.19 us         1.59 us           50 bytes=16
benchmark_osu_latency_MPI_sendrecv/8/manual_time_median                           1.18 us         1.59 us           50 bytes=16
benchmark_osu_latency_MPI_sendrecv/8/manual_time_stddev                          0.005 us        0.002 us           50 bytes=73.7416n
benchmark_osu_latency_MPI_sendrecv/8/manual_time_cv                               0.45 %          0.16 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/64/manual_time_mean                            1.21 us         1.62 us           50 bytes=128
benchmark_osu_latency_MPI_sendrecv/64/manual_time_median                          1.21 us         1.62 us           50 bytes=128
benchmark_osu_latency_MPI_sendrecv/64/manual_time_stddev                         0.005 us        0.003 us           50 bytes=589.933n
benchmark_osu_latency_MPI_sendrecv/64/manual_time_cv                              0.41 %          0.19 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/512/manual_time_mean                           1.25 us         1.65 us           50 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/512/manual_time_median                         1.25 us         1.65 us           50 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/512/manual_time_stddev                        0.006 us        0.005 us           50 bytes=4.71946u
benchmark_osu_latency_MPI_sendrecv/512/manual_time_cv                             0.51 %          0.32 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_mean                          1.38 us         1.78 us           50 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_median                        1.38 us         1.78 us           50 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_stddev                       0.007 us        0.004 us           50 bytes=37.7557u
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_cv                            0.50 %          0.23 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_mean                         4.63 us         5.75 us           50 bytes=65.536k
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_median                       4.64 us         5.76 us           50 bytes=65.536k
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_stddev                      0.024 us        0.033 us           50 bytes=302.046u
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_cv                           0.53 %          0.57 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_mean                        19.8 us         20.9 us           50 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_median                      19.7 us         20.9 us           50 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_stddev                     0.095 us        0.049 us           50 bytes=2.41637m
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_cv                          0.48 %          0.23 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_mean                        128 us          129 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_median                      128 us          129 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_stddev                    0.584 us        0.290 us           50 bytes=0.0193309
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_cv                         0.46 %          0.23 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_mean                      1321 us         1314 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_median                    1318 us         1311 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_stddev                    11.3 us         8.70 us           50 bytes=0.154647
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_cv                        0.85 %          0.66 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_mean                    13756 us        13675 us           50 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_median                  13759 us        13681 us           50 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_stddev                   69.4 us         56.1 us           50 bytes=1.23718
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_cv                       0.50 %          0.41 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_mean                    28096 us        27920 us           50 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_median                  28103 us        27918 us           50 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_stddev                    135 us         89.8 us           50 bytes=2.47436
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_cv                       0.48 %          0.32 %            50 bytes=0.00%
benchmark_lock_unlock_put/1/manual_time_mean                                      6.47 us         6.84 us           50 bytes_per_second=1.17882Mi/s
benchmark_lock_unlock_put/1/manual_time_median                                    6.46 us         6.83 us           50 bytes_per_second=1.18044Mi/s
benchmark_lock_unlock_put/1/manual_time_stddev                                   0.042 us        0.020 us           50 bytes_per_second=7.68015Ki/s
benchmark_lock_unlock_put/1/manual_time_cv                                        0.65 %          0.30 %            50 bytes_per_second=0.64%
benchmark_lock_unlock_put/8/manual_time_mean                                      6.50 us         6.86 us           50 bytes_per_second=9.39461Mi/s
benchmark_lock_unlock_put/8/manual_time_median                                    6.49 us         6.86 us           50 bytes_per_second=9.40167Mi/s
benchmark_lock_unlock_put/8/manual_time_stddev                                   0.034 us        0.018 us           50 bytes_per_second=48.7999Ki/s
benchmark_lock_unlock_put/8/manual_time_cv                                        0.52 %          0.27 %            50 bytes_per_second=0.51%
benchmark_lock_unlock_put/64/manual_time_mean                                     6.53 us         6.89 us           50 bytes_per_second=74.8171Mi/s
benchmark_lock_unlock_put/64/manual_time_median                                   6.52 us         6.89 us           50 bytes_per_second=74.8889Mi/s
benchmark_lock_unlock_put/64/manual_time_stddev                                  0.030 us        0.016 us           50 bytes_per_second=348.506Ki/s
benchmark_lock_unlock_put/64/manual_time_cv                                       0.46 %          0.23 %            50 bytes_per_second=0.45%
benchmark_lock_unlock_put/512/manual_time_mean                                    6.64 us         6.99 us           50 bytes_per_second=588.076Mi/s
benchmark_lock_unlock_put/512/manual_time_median                                  6.64 us         6.99 us           50 bytes_per_second=588.433Mi/s
benchmark_lock_unlock_put/512/manual_time_stddev                                 0.032 us        0.019 us           50 bytes_per_second=2.79716Mi/s
benchmark_lock_unlock_put/512/manual_time_cv                                      0.49 %          0.28 %            50 bytes_per_second=0.48%
benchmark_lock_unlock_put/4096/manual_time_mean                                   8.15 us         8.51 us           50 bytes_per_second=3.74576Gi/s
benchmark_lock_unlock_put/4096/manual_time_median                                 8.13 us         8.50 us           50 bytes_per_second=3.75224Gi/s
benchmark_lock_unlock_put/4096/manual_time_stddev                                0.046 us        0.033 us           50 bytes_per_second=21.3709Mi/s
benchmark_lock_unlock_put/4096/manual_time_cv                                     0.57 %          0.39 %            50 bytes_per_second=0.56%
benchmark_lock_unlock_put/32768/manual_time_mean                                  16.7 us         17.1 us           50 bytes_per_second=14.6112Gi/s
benchmark_lock_unlock_put/32768/manual_time_median                                16.7 us         17.1 us           50 bytes_per_second=14.6224Gi/s
benchmark_lock_unlock_put/32768/manual_time_stddev                               0.085 us        0.050 us           50 bytes_per_second=74.0879Mi/s
benchmark_lock_unlock_put/32768/manual_time_cv                                    0.51 %          0.29 %            50 bytes_per_second=0.50%
benchmark_lock_unlock_put/262144/manual_time_mean                                  104 us          104 us           50 bytes_per_second=18.7236Gi/s
benchmark_lock_unlock_put/262144/manual_time_median                                104 us          104 us           50 bytes_per_second=18.7339Gi/s
benchmark_lock_unlock_put/262144/manual_time_stddev                              0.525 us        0.313 us           50 bytes_per_second=94.5732Mi/s
benchmark_lock_unlock_put/262144/manual_time_cv                                   0.50 %          0.30 %            50 bytes_per_second=0.49%
benchmark_lock_unlock_get/1/manual_time_mean                                      6.37 us         7.52 us           50 bytes_per_second=1.19764Mi/s
benchmark_lock_unlock_get/1/manual_time_median                                    6.37 us         7.52 us           50 bytes_per_second=1.19852Mi/s
benchmark_lock_unlock_get/1/manual_time_stddev                                   0.018 us        0.027 us           50 bytes_per_second=3.43909Ki/s
benchmark_lock_unlock_get/1/manual_time_cv                                        0.28 %          0.36 %            50 bytes_per_second=0.28%
benchmark_lock_unlock_get/8/manual_time_mean                                      6.40 us         7.55 us           50 bytes_per_second=9.53946Mi/s
benchmark_lock_unlock_get/8/manual_time_median                                    6.39 us         7.55 us           50 bytes_per_second=9.54772Mi/s
benchmark_lock_unlock_get/8/manual_time_stddev                                   0.028 us        0.017 us           50 bytes_per_second=42.0181Ki/s
benchmark_lock_unlock_get/8/manual_time_cv                                        0.44 %          0.23 %            50 bytes_per_second=0.43%
benchmark_lock_unlock_get/64/manual_time_mean                                     6.43 us         7.59 us           50 bytes_per_second=75.9975Mi/s
benchmark_lock_unlock_get/64/manual_time_median                                   6.42 us         7.58 us           50 bytes_per_second=76.0872Mi/s
benchmark_lock_unlock_get/64/manual_time_stddev                                  0.034 us        0.024 us           50 bytes_per_second=405.537Ki/s
benchmark_lock_unlock_get/64/manual_time_cv                                       0.53 %          0.31 %            50 bytes_per_second=0.52%
benchmark_lock_unlock_get/512/manual_time_mean                                    6.63 us         7.84 us           50 bytes_per_second=589.456Mi/s
benchmark_lock_unlock_get/512/manual_time_median                                  6.62 us         7.84 us           50 bytes_per_second=589.95Mi/s
benchmark_lock_unlock_get/512/manual_time_stddev                                 0.030 us        0.016 us           50 bytes_per_second=2.61326Mi/s
benchmark_lock_unlock_get/512/manual_time_cv                                      0.45 %          0.21 %            50 bytes_per_second=0.44%
benchmark_lock_unlock_get/4096/manual_time_mean                                   8.06 us         9.30 us           50 bytes_per_second=3.78481Gi/s
benchmark_lock_unlock_get/4096/manual_time_median                                 8.08 us         9.32 us           50 bytes_per_second=3.77904Gi/s
benchmark_lock_unlock_get/4096/manual_time_stddev                                0.064 us        0.051 us           50 bytes_per_second=30.5565Mi/s
benchmark_lock_unlock_get/4096/manual_time_cv                                     0.80 %          0.55 %            50 bytes_per_second=0.79%
benchmark_lock_unlock_get/32768/manual_time_mean                                  16.1 us         17.5 us           50 bytes_per_second=15.1458Gi/s
benchmark_lock_unlock_get/32768/manual_time_median                                16.1 us         17.4 us           50 bytes_per_second=15.1757Gi/s
